overall,candidate,state,dem_pct,dem_win,dem_ev,total_ev,label
0.528,Biden,ME,0.5739728202546466,TRUE,4,303,Biden: 303 EV
0.528,Biden,MI,0.5406695185798104,TRUE,16,303,Biden: 303 EV
0.528,Biden,MN,0.5536665977533481,TRUE,10,303,Biden: 303 EV
0.528,Biden,MO,0.4437919330569554,FALSE,0,303,Biden: 303 EV
0.528,Biden,MS,0.3478232447396838,FALSE,0,303,Biden: 303 EV
0.528,Biden,MT,0.44357906669164154,FALSE,0,303,Biden: 303 EV
0.528,Biden,NC,0.4909492100133609,FALSE,0,303,Biden: 303 EV
0.528,Biden,ND,0.3494012988461523,FALSE,0,303,Biden: 303 EV
0.528,Biden,NE,0.40909057948062966,FALSE,0,303,Biden: 303 EV
0.528,Biden,NH,0.5597871765299218,TRUE,4,303,Biden: 303 EV
0.528,Biden,NJ,0.588698189073619,TRUE,14,303,Biden: 303 EV
0.528,Biden,NM,0.5085258768190097,TRUE,5,303,Biden: 303 EV
0.528,Biden,NV,0.5151063611569845,TRUE,6,303,Biden: 303 EV
0.528,Biden,NY,0.6520337324489743,TRUE,29,303,Biden: 303 EV
0.528,Biden,OH,0.501118139592612,TRUE,18,303,Biden: 303 EV
0.528,Biden,OK,0.33131094832693225,FALSE,0,303,Biden: 303 EV
0.528,Biden,OR,0.6038844701266778,TRUE,7,303,Biden: 303 EV
0.528,Biden,PA,0.5369238258574253,TRUE,20,303,Biden: 303 EV
0.528,Biden,RI,0.6078339473275043,TRUE,4,303,Biden: 303 EV
0.528,Biden,SC,0.4154285213715431,FALSE,0,303,Biden: 303 EV
0.528,Biden,SD,0.39170588148121077,FALSE,0,303,Biden: 303 EV
0.528,Biden,TN,0.38851235742321877,FALSE,0,303,Biden: 303 EV
0.528,Biden,TX,0.4312558115392642,FALSE,0,303,Biden: 303 EV
0.528,Biden,UT,0.41365287854703087,FALSE,0,303,Biden: 303 EV
0.528,Biden,VA,0.5438028392337456,TRUE,13,303,Biden: 303 EV
0.528,Biden,VT,0.7033527702684703,TRUE,3,303,Biden: 303 EV
0.528,Biden,WA,0.6254041285559483,TRUE,12,303,Biden: 303 EV
0.528,Biden,WI,0.545275099571035,TRUE,10,303,Biden: 303 EV
0.528,Biden,WV,0.3310723216933027,FALSE,0,303,Biden: 303 EV
0.528,Biden,WY,0.27654871825160926,FALSE,0,303,Biden: 303 EV
0.528,Buttigieg,AK,0.43807966073715193,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,AL,0.3049071330741814,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,AR,0.3805083332727864,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,AZ,0.49221073150496764,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,CA,0.6526059429220215,TRUE,55,303,Buttigieg: 303 EV
0.528,Buttigieg,CO,0.5645006917099596,TRUE,9,303,Buttigieg: 303 EV
0.528,Buttigieg,CT,0.6111030759364491,TRUE,7,303,Buttigieg: 303 EV
0.528,Buttigieg,DC,0.9546872288783338,TRUE,3,303,Buttigieg: 303 EV
0.528,Buttigieg,DE,0.5951656194369951,TRUE,3,303,Buttigieg: 303 EV
0.528,Buttigieg,FL,0.4980727791506054,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,GA,0.4403392322992839,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,HI,0.6557336061788047,TRUE,4,303,Buttigieg: 303 EV
0.528,Buttigieg,IA,0.5174378010742459,TRUE,6,303,Buttigieg: 303 EV
0.528,Buttigieg,ID,0.3662520978550813,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,IL,0.6112816580190326,TRUE,20,303,Buttigieg: 303 EV
0.528,Buttigieg,IN,0.4417536821457954,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,KS,0.4358582276906503,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,KY,0.3837268977015482,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,LA,0.33670905774930887,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,MA,0.6854404359381824,TRUE,11,303,Buttigieg: 303 EV
0.528,Buttigieg,MD,0.639229665973078,TRUE,10,303,Buttigieg: 303 EV
0.528,Buttigieg,ME,0.5818329534464052,TRUE,4,303,Buttigieg: 303 EV
0.528,Buttigieg,MI,0.5442061342782103,TRUE,16,303,Buttigieg: 303 EV
0.528,Buttigieg,MN,0.558319550290053,TRUE,10,303,Buttigieg: 303 EV
0.528,Buttigieg,MO,0.44631203471599296,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,MS,0.3219833722634791,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,MT,0.45108447243081945,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,NC,0.48614057314838105,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,ND,0.3545332973510762,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,NE,0.41490913793192463,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,NH,0.5678619348664794,TRUE,4,303,Buttigieg: 303 EV
0.528,Buttigieg,NJ,0.5918040253744612,TRUE,14,303,Buttigieg: 303 EV
0.528,Buttigieg,NM,0.5102244653128535,TRUE,5,303,Buttigieg: 303 EV
0.528,Buttigieg,NV,0.515107910761768,TRUE,6,303,Buttigieg: 303 EV
0.528,Buttigieg,NY,0.6527581414752917,TRUE,29,303,Buttigieg: 303 EV
0.528,Buttigieg,OH,0.5045838911615395,TRUE,18,303,Buttigieg: 303 EV
0.528,Buttigieg,OK,0.3336550224720865,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,OR,0.6080203939358381,TRUE,7,303,Buttigieg: 303 EV
0.528,Buttigieg,PA,0.5400151047794705,TRUE,20,303,Buttigieg: 303 EV
0.528,Buttigieg,RI,0.611108376014572,TRUE,4,303,Buttigieg: 303 EV
0.528,Buttigieg,SC,0.40507751581797746,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,SD,0.40040816391247447,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,TN,0.3881907225721839,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,TX,0.42950561328540804,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,UT,0.4198755175797603,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,VA,0.5417906472496917,TRUE,13,303,Buttigieg: 303 EV
0.528,Buttigieg,VT,0.7080990473032149,TRUE,3,303,Buttigieg: 303 EV
0.528,Buttigieg,WA,0.6312762697207036,TRUE,12,303,Buttigieg: 303 EV
0.528,Buttigieg,WI,0.551517160974135,TRUE,10,303,Buttigieg: 303 EV
0.528,Buttigieg,WV,0.3380398712598185,FALSE,0,303,Buttigieg: 303 EV
0.528,Buttigieg,WY,0.28141039228393044,FALSE,0,303,Buttigieg: 303 EV
0.528,Harris,AK,0.43571667402499586,FALSE,0,285,Harris: 285 EV
0.528,Harris,AL,0.33536655523997466,FALSE,0,285,Harris: 285 EV
0.528,Harris,AR,0.38222400943746365,FALSE,0,285,Harris: 285 EV
0.528,Harris,AZ,0.48864419929433683,FALSE,0,285,Harris: 285 EV
0.528,Harris,CA,0.6550111419837531,TRUE,55,285,Harris: 285 EV
0.528,Harris,CO,0.5559208807376903,TRUE,9,285,Harris: 285 EV
0.528,Harris,CT,0.6019404218174862,TRUE,7,285,Harris: 285 EV
0.528,Harris,DC,0.9564656937457302,TRUE,3,285,Harris: 285 EV
0.528,Harris,DE,0.5915903218890466,TRUE,3,285,Harris: 285 EV
0.528,Harris,FL,0.49772824495908097,FALSE,0,285,Harris: 285 EV
0.528,Harris,GA,0.4642221913720046,FALSE,0,285,Harris: 285 EV
0.528,Harris,HI,0.6653477048087935,TRUE,4,285,Harris: 285 EV
0.528,Harris,IA,0.502329815426684,TRUE,6,285,Harris: 285 EV
0.528,Harris,ID,0.3540457793925441,FALSE,0,285,Harris: 285 EV
0.528,Harris,IL,0.6085489369649437,TRUE,20,285,Harris: 285 EV
0.528,Harris,IN,0.4354539680095077,FALSE,0,285,Harris: 285 EV
0.528,Harris,KS,0.4255716767741991,FALSE,0,285,Harris: 285 EV
0.528,Harris,KY,0.37953569348849253,FALSE,0,285,Harris: 285 EV
0.528,Harris,LA,0.3709109471802958,FALSE,0,285,Harris: 285 EV
0.528,Harris,MA,0.6762411255339844,TRUE,11,285,Harris: 285 EV
0.528,Harris,MD,0.6470756190657339,TRUE,10,285,Harris: 285 EV
0.528,Harris,ME,0.5654847665958787,TRUE,4,285,Harris: 285 EV
0.528,Harris,MI,0.5368489606309539,TRUE,16,285,Harris: 285 EV
0.528,Harris,MN,0.5475816361601606,TRUE,10,285,Harris: 285 EV
0.528,Harris,MO,0.4410172111115431,FALSE,0,285,Harris: 285 EV
0.528,Harris,MS,0.36649791325076464,FALSE,0,285,Harris: 285 EV
0.528,Harris,MT,0.43566138558834633,FALSE,0,285,Harris: 285 EV
0.528,Harris,NC,0.4945189666881039,FALSE,0,285,Harris: 285 EV
0.528,Harris,ND,0.34356411848274465,FALSE,0,285,Harris: 285 EV
0.528,Harris,NE,0.40457914553129365,FALSE,0,285,Harris: 285 EV
0.528,Harris,NH,0.551392465110494,TRUE,4,285,Harris: 285 EV
0.528,Harris,NJ,0.5881616497066539,TRUE,14,285,Harris: 285 EV
0.528,Harris,NM,0.5149268922030358,TRUE,5,285,Harris: 285 EV
0.528,Harris,NV,0.5160583466262345,TRUE,6,285,Harris: 285 EV
0.528,Harris,NY,0.6504469827484474,TRUE,29,285,Harris: 285 EV
0.528,Harris,OH,0.4975182504899648,FALSE,0,285,Harris: 285 EV
0.528,Harris,OK,0.33183900014785217,FALSE,0,285,Harris: 285 EV
0.528,Harris,OR,0.5963267343457487,TRUE,7,285,Harris: 285 EV
0.528,Harris,PA,0.5324451965945791,TRUE,20,285,Harris: 285 EV
0.528,Harris,RI,0.6042328637453988,TRUE,4,285,Harris: 285 EV
0.528,Harris,SC,0.42426966178195047,FALSE,0,285,Harris: 285 EV
0.528,Harris,SD,0.38607270554700934,FALSE,0,285,Harris: 285 EV
0.528,Harris,TN,0.3896264028471712,FALSE,0,285,Harris: 285 EV
0.528,Harris,TX,0.4375287700192587,FALSE,0,285,Harris: 285 EV
0.528,Harris,UT,0.4094410600087595,FALSE,0,285,Harris: 285 EV
0.528,Harris,VA,0.5449545252488652,TRUE,13,285,Harris: 285 EV
0.528,Harris,VT,0.6934844360555567,TRUE,3,285,Harris: 285 EV
0.528,Harris,WA,0.6206130284633963,TRUE,12,285,Harris: 285 EV
0.528,Harris,WI,0.5376015875172352,TRUE,10,285,Harris: 285 EV
0.528,Harris,WV,0.3259889086102172,FALSE,0,285,Harris: 285 EV
0.528,Harris,WY,0.27349153009427224,FALSE,0,285,Harris: 285 EV
